X_AXIS,apt32,apt28,turla,lazarus-group,oilrig,apt41,gamaredon-group,dragonfly-2.0,unc2452,tropic-trooper,threat-group-3390,wizard-spider,fin6,sandworm-team,frankenstein,apt3,menupass,rocke,muddywater,bronze-butler,apt39,apt37,soft-cell,patchwork,ke3chang,silence,stealth-falcon,magic-hound,honeybee,inception,cobalt-group,apt38,leviathan,darkhotel,blue-mockingbird,apt33,apt19,kimsuky,fin8,darkvishnya,chimera,apt1,admin@338,leafminer,fin7,fin5,apt18,sowbug,platinum,night-dragon,molerats,elderwood,dark-caracal,apt29,whitefly,ta505,poseidon-group,gorgon-group,gold-southfield,temp.veles,suckfly,sharpshooter,fin10,dust-storm,deep-panda,axiom,apt-c-36,winnti-group,windshift,wirte,the-white-company,stolen-pencil,rtm,machete,group5,dragonfly,darkhydrus,carbanak,blacktech,thrip,threat-group-1314,ta459,rancor,putter-panda,pittytiger,promethium,naikon,mofang,gallmaker,fin4,equation,blackoasis,apt17,apt12,taidoor,strider,silverterrier,scarlet-mimic,orangeworm,neodymium,moafee,monsoon,lotus-blossom,gcman,dragonok,copykittens,cleaver,charming-kitten,apt34,apt30,apt16
apt32,-,1,6,5,6,6,3,6,3,7,5,5,2,3,3,6,4,3,4,2,4,2,4,3,5,1,4,4,2,2,1,1,0,2,1,0,3,2,1,2,0,3,4,3,0,1,2,3,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apt28,1,-,3,2,1,1,2,1,2,2,0,0,0,1,1,2,0,1,2,1,0,2,0,1,2,0,1,2,2,2,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
turla,6,3,-,6,7,3,3,4,4,5,4,3,1,3,3,6,3,3,4,4,1,3,3,2,7,1,4,4,3,3,0,2,0,3,1,0,2,2,1,0,0,4,5,2,0,1,2,2,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lazarus-group,5,2,6,-,5,3,3,4,3,5,2,3,0,2,4,5,1,2,5,2,1,3,2,3,4,0,5,5,3,3,0,1,0,3,1,0,3,2,0,0,0,2,3,1,0,0,2,2,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oilrig,6,1,7,5,-,4,2,3,2,6,4,3,1,2,4,5,3,3,4,1,2,3,3,2,5,0,5,4,2,2,1,2,0,3,1,0,3,1,0,1,0,4,4,1,0,0,1,1,0,0,1,0,0,0,0,0,3,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apt41,6,1,3,3,4,-,2,4,1,6,3,3,1,1,2,4,3,1,3,1,3,1,3,2,3,0,2,3,1,1,1,1,0,1,0,0,2,1,0,2,0,3,3,2,0,0,1,2,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gamaredon-group,3,2,3,3,2,2,-,2,2,3,0,2,0,1,2,3,0,1,3,1,1,3,1,3,2,0,2,3,2,2,0,0,0,1,1,0,2,2,0,0,0,0,2,1,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dragonfly-2.0,6,1,4,4,3,4,2,-,2,4,3,4,1,2,2,4,2,1,3,2,3,1,3,2,3,1,3,3,1,1,0,0,0,1,0,0,2,1,1,1,0,2,2,2,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unc2452,3,2,4,3,2,1,2,2,-,3,1,3,1,2,2,5,1,3,3,2,1,2,1,2,4,1,2,3,3,3,0,1,0,2,1,0,1,2,1,0,0,1,2,2,0,1,2,2,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tropic-trooper,7,2,5,5,6,6,3,4,3,-,3,4,1,2,4,6,3,3,5,2,3,3,3,3,5,0,4,5,3,4,1,2,0,3,1,0,3,2,0,2,0,4,4,2,0,0,2,3,0,0,1,0,1,0,0,0,2,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
